,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,0.9701784468335468,0.9657477925362323,0.9617359567259118,0.9643110134251467,0.9655371520501185,0.9677660722920307,0.9681268808177664,0.9655950888845157,0.9648656988827148,0.9677891869741372,0.9692139545647002,0.966442586558071,0.964665076094821,0.9672829042277481,0.9627507958040301,0.9650078068131991,0.9629176348554136,0.9597469536058338,0.9623685138178306,0.9666330414716536,0.966440026860789,0.9642763713813639,0.9643744069298844
Feb,0.9661264493996495,0.9659858495461378,0.9631613667002382,0.9673216184224221,0.9688928538173716,0.9711161338457823,0.9709129814980999,0.9699035296989089,0.9667176679994359,0.9717145282663284,0.9710402167110692,0.9696803755685657,0.9675901354265869,0.9703313106605498,0.9656928312216283,0.9670844738254909,0.9668665631079176,0.963313920155148,0.9679093318696897,0.9690476695762467,0.9694876628932243,0.9659877728407307,0.9673660386459222
Mar,0.9657614056177972,0.9679328958867855,0.9647850458098188,0.9728497230422647,0.9716088982331015,0.9739117946381717,0.973357677634798,0.9738314994834787,0.9722771171202172,0.9740460560147487,0.9735601991488383,0.9714951425861705,0.9715503316398015,0.9724742692113969,0.9724890041794633,0.9708401723969402,0.9705122244699139,0.9684672813760252,0.9723098476250968,0.9720038613491713,0.9720757407841046,0.9701943342227671,0.9695909257403303
Apr,0.9614049925056787,0.9639758423670873,0.962493623859497,0.970185661323702,0.9701820284159303,0.9700498598513413,0.9701635389018436,0.970533100804698,0.9699744813582867,0.9703757444622313,0.9698929159770371,0.9669088222806668,0.9698220993478252,0.9692197476678706,0.9674700304869551,0.9663172142984774,0.9674225895524794,0.9669617210559206,0.966749038191612,0.9679000045919748,0.9684581123919961,0.9672834915941687,0.9669175419538639
May,0.9411410693101486,0.9431218067626778,0.9432564775240179,0.9500636605565673,0.9527983342788353,0.9514127851894995,0.9548651055857997,0.9561761336186897,0.9532172961161482,0.9543161372683867,0.954326113145061,0.9482648210185178,0.952885688677944,0.95275245566473,0.9499333663135531,0.9471312147714772,0.9484840344535642,0.9521739863165555,0.9470034903725559,0.9497775658333124,0.9491497341629365,0.9518405984421452,0.9508302578642064
Jun,0.9011368031935297,0.9118646999752261,0.9032103858399384,0.910265695705752,0.917516135954719,0.9158364514082162,0.9158049212432686,0.9215368611982272,0.9198360238336439,0.9215540567419385,0.9225800609322966,0.9127760696838925,0.9238262460353214,0.9186755031663245,0.9201339180719937,0.9077133434597316,0.9083381350078412,0.9113032341834806,0.911197281337578,0.9100201372902648,0.9109762484174396,0.909791929732403,0.9061307721762966
Jul,0.8912224752381155,0.9010458468688798,0.8988225830652803,0.8963056177396843,0.9027283978976474,0.9129685745433489,0.8986895155624273,0.903860772476348,0.9058603025706923,0.905883287575972,0.9105283805629746,0.9162266503829107,0.9144280731393032,0.9068492472186214,0.9082791125256822,0.9122929535434597,0.9047686549696182,0.8997794675858799,0.9009614168553562,0.8998038884854109,0.9072679298865732,0.9020370158498344,0.9029774994907868
Aug,0.8993086663038796,0.9041781876987625,0.9111049925099913,0.9095583029797849,0.9131066672880217,0.921725481874274,0.9209853499051354,0.9186081057955918,0.9214582883412257,0.9216230442002249,0.9204103880549471,0.9253650871198603,0.9219049390675044,0.91985960377176,0.9181988595183891,0.9189247082179335,0.9195267094356068,0.9110454658327631,0.91387146772808,0.9134601140994226,0.9137886607989065,0.9160494227286408,0.9180859772744113
Sep,0.942688355769926,0.9438140428046923,0.9461236843230798,0.9437899214863789,0.9458959705790964,0.9506237144402564,0.9509627711904621,0.9483363436285638,0.9508648095637928,0.951909281412923,0.9481342621660102,0.9472311506971102,0.9493259777688395,0.9498450209984198,0.9475669445120882,0.9497680172823123,0.9459317846631867,0.9435689022878443,0.9442776720458751,0.9465686192637247,0.9437752978268381,0.9449161154871405,0.9448696900754565
Oct,0.9578799897372868,0.9599778123422653,0.9587020715761262,0.9580796646214026,0.959821492549315,0.9604919241485727,0.9609478442306797,0.9578168774906931,0.9638836186005086,0.9640395449444396,0.9586504176862924,0.9568489903950331,0.9588360372468202,0.9575513555391596,0.9560166402172703,0.9547974980480624,0.9531929296850528,0.9563615541532887,0.9547770459318556,0.9571649208883096,0.9525365379366375,0.9540743412163443,0.9530259727997313
Nov,0.9654511605688999,0.9650946445598377,0.965968095036504,0.9673173338043487,0.9655202330174001,0.9675072836091165,0.9685736720503728,0.9677383883991784,0.969178432583471,0.9717971849049385,0.9669649181508163,0.9655342375842543,0.9671134223446618,0.9656088554659991,0.9634735991383634,0.9635803493107674,0.9603859602080193,0.9643500426374298,0.9624494517577213,0.965464818451716,0.9626611166144586,0.9607214518683709,0.9619124901974944
Dec,0.9664732717343396,0.9625217449750947,0.9658228361991258,0.9670165619340503,0.9675522644396346,0.966198437977715,0.9673935590944496,0.9682385142952832,0.9669201328759993,0.9695831110924855,0.9682669338251968,0.9664350207101775,0.9693056681307751,0.9675413176484224,0.9663524042787436,0.9655329089183022,0.9631276595189576,0.9647681220986936,0.964598431636286,0.9655703823844257,0.9647029868615608,0.9643705151228056,0.9660033427523763
